

经典轮播,#genre#
经典宫廷①,http://lxajh.top/tv/douyu.php?id=8543072
经典恐怖,http://103.193.151.146/douyu1.php?id=1165374
香港功夫台,http://huanqiuzhibo.cn/manifest/douyu.php?id=9548850
泊枫剧场1,http://huanqiuzhibo.cn/manifest/douyu.php?id=7623292
TVB剧场1,http://huanqiuzhibo.cn/manifest/douyu.php?id=7655471
TVB剧场2,http://huanqiuzhibo.cn/manifest/douyu.php?id=4290711
TVB剧场2,http://huanqiuzhibo.cn/manifest/douyu.php?id=5522351
经典港剧,http://huanqiuzhibo.cn/manifest/douyu.php?id=4549169
华语经典,http://huanqiuzhibo.cn/manifest/douyu.php?id=3928
三国演义,http://huanqiuzhibo.cn/manifest/douyu.php?id=7459925
古装剧场,http://huanqiuzhibo.cn/manifest/douyu.php?id=5908256
小猪优版剧院,http://huanqiuzhibo.cn/manifest/douyu.php?id=10297898 
邵氏影院,http://zzy789.xyz/douyu1.php?id=4246519
经典电影轮播,rtmp://live.gxrb.com.cn/pull/red_movies_0501
苏州电影娱乐信息,https://live-auth.51kandianshi.com/szgd/csztv4.m3u8
冰冰影厅,http://zzy789.xyz/douyu1.php?id=74374
奇光剧场,http://zzy789.xyz/douyu1.php?id=11849873
奇光影院,http://zzy789.xyz/douyu1.php?id=8009547
奇光动漫剧场,http://103.193.151.146/douyu1.php?id=12560807
柠檬功夫,http://huanqiuzhibo.cn/manifest/douyu.php?id=9838414
小毅主播q,http://103.193.151.146/douyu1.php?id=6906628
小毅主播e,http://103.193.151.146/douyu1.php?id=11851549
粤语电影,http://huanqiuzhibo.cn/manifest/douyu.php?id=1226741
金庸影院,http://zzy789.xyz/douyu1.php?id=9285904
台剧影院,http://zzy789.xyz/douyu1.php?id=7655471
奶虫影院,http://zzy789.xyz/douyu1.php?id=263824
刀刀影院,http://zzy789.xyz/douyu1.php?id=747764
橙記港剧,http://zzy789.xyz/douyu1.php?id=4549169
热门港剧,http://zzy789.xyz/douyu1.php?id=5522351
经典剧集,http://zzy789.xyz/douyu1.php?id=6863367
古剑奇谭,https://isus.cc/php/huya.php?id=23824164
神雕侠侣,https://isus.cc/php/huya.php?id=11352964
POPC,http://bxtv.3a.ink/api.php?id=popc
经典剧场,http://huanqiuzhibo.cn/manifest/douyu.php?id=4246519
经典影视台,http://huanqiuzhibo.cn/manifest/douyu.php?id=6091425
星光怀旧台,http://data.3g.yy.com/live/hls/1354936134/1354936134.m3u8
星光世界台,http://data.3g.yy.com/live/hls/1353422557/1353422557.m3u8
星光经典台,http://data.3g.yy.com/live/hls/1355046088/1355046088.m3u8[
美家功夫台,http://push-rtmp-hs-spe-f5.douyincdn.com/live/20250717-GF-1080FHD.flv$已失效
星光综合台,https://test.aldirect.rtmp.huya.com/live/zxcvbnm9852.flv                                                                                  
星光综合y,http://data.3g.yy.com/live/hls/1353422557/1353422557
